STATION,LINENAME,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
AVENUE U,F,2936.0,390.0,1680.0,908.0
AVENUE U,N,3142.0,139.0,1278.0,734.0
AVENUE X,F,2047.0,321.0,2236.0,1469.0
B'WAY-LAFAYETTE,BDFQ6,2224.0,12377.0,23714.0,32224.0
BAY 50 ST,D,4519.0,306.0,2607.0,452.0
BAY PKWY,D,11701.0,1502.0,7185.0,7057.0
BAY PKWY,F,1440.0,265.0,1198.0,370.0
BAY PKWY,N,11490.0,129.0,5252.0,1761.0
BAY RIDGE AV,R,4264.0,398.0,6880.0,2972.0
BAY RIDGE-95 ST,R,3833.0,442.0,4407.0,2392.0
BAYCHESTER AV,5,6655.0,312.0,3703.0,504.0
BEACH 105 ST,AS,515.0,152.0,288.0,183.0
BEACH 25 ST,A,2224.0,375.0,1794.0,1081.0
BEACH 36 ST,A,1124.0,135.0,778.0,582.0
BEACH 44 ST,A,783.0,366.0,604.0,472.0
BEACH 60 ST,A,2526.0,303.0,1705.0,1138.0
BEACH 67 ST,A,2438.0,384.0,1856.0,1247.0
BEACH 90 ST,AS,1930.0,184.0,626.0,681.0
BEACH 98 ST,AS,934.0,302.0,600.0,421.0
BEDFORD AV,L,8934.0,6927.0,21886.0,20803.0
BEDFORD PK BLVD,4,3550.0,1016.0,5352.0,3396.0
BEDFORD PK BLVD,BD,10584.0,1327.0,6698.0,3297.0
BEDFORD-NOSTRAN,G,3008.0,497.0,7640.0,2903.0
BERGEN ST,23,703.0,461.0,2965.0,2161.0
BERGEN ST,FG,6602.0,3242.0,11304.0,7217.0
BEVERLEY ROAD,BQ,1836.0,248.0,2667.0,1612.0
BEVERLY RD,25,5279.0,212.0,3704.0,695.0
BLEECKER ST,6DF,4017.0,2086.0,11982.0,5451.0
BOROUGH HALL,2345R,4396.0,7258.0,39754.0,22541.0
BOROUGH HALL,R2345,261.0,219.0,2738.0,1453.0
BOTANIC GARDEN,S2345,787.0,1121.0,1283.0,1992.0
BOWERY,JZ,354.0,1023.0,2823.0,4228.0
BOWLING GREEN,45,4398.0,6420.0,20069.0,18301.0
BRIARWOOD,EF,3372.0,447.0,4988.0,1576.0
BRIGHTON BEACH,BQ,6065.0,689.0,14322.0,6780.0
BROAD CHANNEL,AS,832.0,52.0,194.0,94.0
BROAD ST,JZ,841.0,2089.0,7435.0,1951.0
BROADWAY,G,4180.0,1875.0,4653.0,3310.0
BROADWAY JCT,ACJLZ,5493.0,2685.0,7839.0,6437.0
BRONX PARK EAST,25,4699.0,581.0,2536.0,1081.0
BROOK AV,6,7403.0,3375.0,7311.0,5562.0
BROOKLYN BRIDGE,456JZ,1195.0,5182.0,21366.0,16825.0
BUHRE AV,6,8120.0,933.0,2872.0,3162.0
BURKE AV,25,6306.0,344.0,2770.0,1428.0
BURNSIDE AV,4,7070.0,810.0,3060938.0,6068609.0
BUSHWICK AV,L,964.0,166.0,1878.0,882.0
CANAL ST,1,826.0,2757.0,7002.0,5602.0
CANAL ST,ACE,1276.0,5619.0,16627.0,17139.0
CANAL ST,JNQRZ6W,5204.0,12597.0,55371.0,35343.0
CANARSIE-ROCKAW,L,19557.0,919.0,9087.0,2455.0
CARROLL ST,FG,1937.0,715.0,8800.0,4461.0
CASTLE HILL AV,6,6072.0,1268.0,6412.0,4589.0
CATHEDRAL PKWY,1,7448.0,3518.0,14394.0,6822.0
CATHEDRAL PKWY,BC,4714.0,1699.0,6426.0,2642.0
CENTRAL AV,M,3902.0,1033.0,3465.0,2751.0
CENTRAL PK N110,23,2770.0,1855.0,7702.0,5868.0
